platform,post_id_hash,brand,market_group,country_or_region,price_tier,product_category,keyword,publish_time,collect_time,title,description,hashtags,like_count,comment_count,collect_count,share_count,author_follower_bucket,is_sponsored_hint
xiaohongshu,f3b0bdaa085c8f6efc42,rom&nd,K-beauty,South Korea,affordable,lip,rom&nd 唇泥 测评,2026-04-22 00:00:00+00:00,2026-06-30 00:00:00+00:00,rom&nd 唇泥｜持妆实测,通勤使用8小时记录，持妆实测。略微沾杯,#唇泥 #K-beauty,280,32,54,6,100k-1m,False
xiaohongshu,f40e3898cd815388e5df,rom&nd,K-beauty,South Korea,affordable,lip,rom&nd 口红 测评,2026-02-20 00:00:00+00:00,2026-06-30 00:00:00+00:00,rom&nd 口红｜水光奶油肌,通勤使用8小时记录，水光奶油肌。略微沾杯,#口红 #K-beauty,447,36,80,13,100k-1m,False
xiaohongshu,d222a9db1be36b46a2a6,rom&nd,K-beauty,South Korea,affordable,lip,rom&nd 唇泥 测评,2026-02-16 00:00:00+00:00,2026-06-30 00:00:00+00:00,rom&nd 唇泥｜持妆实测,通勤使用8小时记录，持妆实测。敏感肌先试用,#唇泥 #K-beauty,96,2,10,6,100k-1m,False
xiaohongshu,c33e557aa9798fdf86dd,rom&nd,K-beauty,South Korea,affordable,lip,rom&nd 口红 测评,2026-05-28 00:00:00+00:00,2026-06-30 00:00:00+00:00,rom&nd 口红｜轻薄服帖,通勤使用8小时记录，轻薄服帖。,#口红 #K-beauty,863,29,261,81,1k-10k,False
xiaohongshu,559d01cb6ca48cc0341e,rom&nd,K-beauty,South Korea,affordable,lip,rom&nd 唇泥 测评,2026-03-24 00:00:00+00:00,2026-06-30 00:00:00+00:00,rom&nd 唇泥｜水光奶油肌,通勤使用8小时记录，水光奶油肌。敏感肌先试用,#唇泥 #K-beauty,251,21,93,9,100k-1m,False
douyin,ff8711d7eebc29970131,rom&nd,K-beauty,South Korea,affordable,lip,rom&nd 唇泥 测评,2026-03-19 00:00:00+00:00,2026-06-30 00:00:00+00:00,rom&nd 唇泥｜持妆实测,通勤使用8小时记录，持妆实测。但有点卡粉,#唇泥 #K-beauty,100,4,8,9,1k-10k,False
douyin,80ff0e84e619b296cbf0,rom&nd,K-beauty,South Korea,affordable,lip,rom&nd 唇釉 测评,2026-03-28 00:00:00+00:00,2026-06-30 00:00:00+00:00,rom&nd 唇釉｜学生党平替,通勤使用8小时记录，学生党平替。下午会暗沉,#唇釉 #K-beauty,261,21,84,19,10k-100k,False
douyin,39bf6fe20696c3c2b821,rom&nd,K-beauty,South Korea,affordable,lip,rom&nd 口红 测评,2026-04-24 00:00:00+00:00,2026-06-30 00:00:00+00:00,rom&nd 口红｜学生党平替,通勤使用8小时记录，学生党平替。干皮可能拔干,#口红 #K-beauty,685,33,246,58,100k-1m,False
douyin,c53d044519f46aea999e,rom&nd,K-beauty,South Korea,affordable,lip,rom&nd 唇泥 测评,2026-01-02 00:00:00+00:00,2026-06-30 00:00:00+00:00,rom&nd 唇泥｜黄皮显白,通勤使用8小时记录，黄皮显白。干皮可能拔干,#唇泥 #K-beauty,192,5,73,5,100k-1m,False
douyin,dd12a20296c68b49e558,rom&nd,K-beauty,South Korea,affordable,lip,rom&nd 唇泥 测评,2026-03-08 00:00:00+00:00,2026-06-30 00:00:00+00:00,rom&nd 唇泥｜持妆实测,通勤使用8小时记录，持妆实测。但有点卡粉,#唇泥 #K-beauty,382,10,70,15,100k-1m,False
